YearofManufacture,Brand,CarName,KilometersDriven,FuelType,Transmission,Price,Location,PricePerKm
2017,Datsun, Go Plus T,17062,Petrol,Manual,302000,"Mulund West, Mumbai",17.700152385417887
2018,Datsun, Redi Go A,50310,Petrol,Manual,227000,"Goregaon, Mumbai",4.512025442258
2018,Datsun, Redi Go S 1.0 AMT,86337,Petrol,Automatic,252999,"Goregaon, Mumbai",2.9303658917961015
2016,Ford, Ecosport TITANIUM 1.5L PETROL AT,73952,Petrol,Automatic,542000,"Goregaon, Mumbai",7.329078321073129
2018,Ford, FREESTYLE TREND 1.5 DIESEL,46080,Diesel,Manual,511000,"Goregaon, Mumbai",11.089409722222221
2018,Ford, FREESTYLE TITANIUM 1.5 DIESEL,75160,Diesel,Manual,601000,"Mulund West, Mumbai",7.996274614156466
2019,Ford, Ecosport TITANIUM 1.0L ECOBOOST SPORTS(SUNROOF),30825,Petrol,Manual,758000,"Mulund West, Mumbai",24.5904298459043
2011,Honda, City 1.5L I-VTEC V MT,90143,Petrol,Manual,254000,"Mulund West, Mumbai",2.817745138280288
2014,Honda, Amaze 1.2L I-VTEC S,52803,Petrol,Manual,354000,"Mulund West, Mumbai",6.704164536105903
2014,Honda, City 1.5L I-VTEC VX,34473,Petrol,Manual,532000,"Goregaon, Mumbai",15.43236735996287
2014,Honda, City 1.5L I-VTEC V MT,61542,Petrol,Manual,449000,"Mulund West, Mumbai",7.295830489746839
2014,Honda, City 1.5L I-VTEC SV CVT,45962,Petrol,Automatic,493000,"Goregaon, Mumbai",10.72625212131761
2014,Honda, City 1.5L I-VTEC VX,74005,Petrol,Manual,517000,"Goregaon, Mumbai",6.9860144584825346
2015,Honda, City 1.5L I-VTEC VX,18779,Petrol,Manual,621000,Seawoo,33.068853506576495
2015,Honda, City 1.5L I-VTEC S MT,79079,Petrol,Manual,422000,"Goregaon, Mumbai",5.336435716182551
2015,Honda, City 1.5L I-VTEC VX,61228,Petrol,Manual,516000,Seawoo,8.427516822368851
2015,Honda, City 1.5L I-VTEC VX,75533,Petrol,Manual,537000,"Goregaon, Mumbai",7.109475328664292
2015,Honda, City 1.5L I-VTEC V MT,73939,Petrol,Manual,446000,"Goregaon, Mumbai",6.031999350816213
2015,Honda, City 1.5L I-VTEC SV,61177,Petrol,Manual,466000,"Goregaon, Mumbai",7.617241773869265
2015,Honda, Jazz 1.2L I-VTEC V AT,34003,Petrol,Automatic,470000,"Goregaon, Mumbai",13.822309796194453
2015,Honda, City 1.5L I-VTEC VX,100831,Petrol,Manual,455999,"Mulund West, Mumbai",4.5224087830131605
2015,Honda, City 1.5L I-VTEC SV,41887,Petrol,Manual,466000,"Goregaon, Mumbai",11.12517010050851
2016,Honda, BR-V 1.5L I-VTEC V,25920,Petrol,Manual,690000,"Goregaon, Mumbai",26.62037037037037
2016,Honda, City 1.5L I-VTEC V MT,63698,CNG,Manual,560000,Seawoo,8.791484818989607
2016,Honda, City 1.5L I-VTEC VX CVT,67149,Petrol,Automatic,681000,"Goregaon, Mumbai",10.141625340660323
2016,Honda, City 1.5L I-VTEC VX CVT,75181,Petrol,Automatic,655000,Seawoo,8.712307630917387
2016,Honda, Jazz 1.2L I-VTEC V AT,37586,Petrol,Automatic,496000,"Goregaon, Mumbai",13.196402915979354
2016,Honda, City 1.5L I-VTEC VX CVT,51329,Petrol,Automatic,630000,"Mulund West, Mumbai",12.273763369635098
2016,Honda, City 1.5L I-VTEC VX CVT,59039,Petrol,Automatic,627000,"Goregaon, Mumbai",10.62009857890547
2016,Honda, City 1.5L I-VTEC VX CVT,73098,Petrol,Automatic,666000,"Goregaon, Mumbai",9.111056390051711
2017,Honda, BR-V 1.5L I-VTEC S,56807,Petrol,Manual,615000,"Goregaon, Mumbai",10.826130582498635
2017,Honda, BR-V 1.5L I-VTEC S,18243,Petrol,Manual,680000,"Goregaon, Mumbai",37.27457106835499
2017,Honda, City 1.5L I-VTEC ZX CVT,33613,Petrol,Automatic,768000,"Mulund West, Mumbai",22.848302740011306
2017,Honda, City 1.5L I-VTEC V MT,38411,Petrol,Manual,672000,Seawoo,17.494988414777016
2017,Honda, Jazz 1.2L I-VTEC V AT,45773,Petrol,Automatic,466000,"Mulund West, Mumbai",10.180674196578769
2017,Honda, City 1.5L I-VTE V CVT,68950,Petrol,Automatic,654000,"Mulund West, Mumbai",9.485134155184916
